"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0051306","mitotic sister chromatid separation",61,-0.767315948437066,-2.43166541947257,0.00129533678756477,0.0331533834502167,0.0283069220957744,1509,"tags=43%, list=10%, signal=39%","67141/219114/66442/56150/68014/229841/69716/14841/11799/22137/70385/107995/67052/18817/68612/268697/12236/208628/76464/52276/67629/66977/12235/20877/66468/434175"
"GO:0010965","regulation of mitotic sister chromatid separation",58,-0.775039111345705,-2.4258422835167,0.00132450331125828,0.0331533834502167,0.0283069220957744,1509,"tags=45%, list=10%, signal=41%","67141/219114/66442/56150/68014/229841/69716/14841/11799/22137/70385/107995/67052/18817/68612/268697/12236/208628/76464/52276/67629/66977/12235/20877/66468/434175"
"GO:0071174","mitotic spindle checkpoint signaling",49,-0.789566341271612,-2.40761506145895,0.00134952766531714,0.0331533834502167,0.0283069220957744,1400,"tags=51%, list=9%, signal=47%","219114/66442/56150/68014/229841/69716/14841/11799/22137/70385/107995/67052/20460/18817/268697/12236/208628/76464/52276/67629/66977/12235/20877/66468/434175"
"GO:0033046","negative regulation of sister chromatid segregation",49,-0.788776499223804,-2.4052066056889,0.00134952766531714,0.0331533834502167,0.0283069220957744,1509,"tags=51%, list=10%, signal=46%","67141/219114/66442/56150/68014/229841/69716/14841/11799/22137/70385/107995/67052/18817/268697/12236/208628/76464/52276/67629/66977/12235/20877/66468/434175"
"GO:0033048","negative regulation of mitotic sister chromatid segregation",49,-0.788776499223804,-2.4052066056889,0.00134952766531714,0.0331533834502167,0.0283069220957744,1509,"tags=51%, list=10%, signal=46%","67141/219114/66442/56150/68014/229841/69716/14841/11799/22137/70385/107995/67052/18817/268697/12236/208628/76464/52276/67629/66977/12235/20877/66468/434175"
"GO:0045841","negative regulation of mitotic metaphase/anaphase transition",49,-0.788776499223804,-2.4052066056889,0.00134952766531714,0.0331533834502167,0.0283069220957744,1509,"tags=51%, list=10%, signal=46%","67141/219114/66442/56150/68014/229841/69716/14841/11799/22137/70385/107995/67052/18817/268697/12236/208628/76464/52276/67629/66977/12235/20877/66468/434175"
"GO:2000816","negative regulation of mitotic sister chromatid separation",49,-0.788776499223804,-2.4052066056889,0.00134952766531714,0.0331533834502167,0.0283069220957744,1509,"tags=51%, list=10%, signal=46%","67141/219114/66442/56150/68014/229841/69716/14841/11799/22137/70385/107995/67052/18817/268697/12236/208628/76464/52276/67629/66977/12235/20877/66468/434175"
"GO:0007094","mitotic spindle assembly checkpoint signaling",47,-0.794336853391305,-2.40468694197729,0.00136425648021828,0.0331533834502167,0.0283069220957744,1400,"tags=51%, list=9%, signal=47%","219114/66442/56150/68014/229841/69716/14841/11799/22137/70385/107995/67052/18817/268697/12236/208628/76464/52276/67629/66977/12235/20877/66468/434175"
"GO:0071173","spindle assembly checkpoint signaling",47,-0.794336853391305,-2.40468694197729,0.00136425648021828,0.0331533834502167,0.0283069220957744,1400,"tags=51%, list=9%, signal=47%","219114/66442/56150/68014/229841/69716/14841/11799/22137/70385/107995/67052/18817/268697/12236/208628/76464/52276/67629/66977/12235/20877/66468/434175"
"GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle",50,-0.785132745018748,-2.40310702159701,0.00134952766531714,0.0331533834502167,0.0283069220957744,1509,"tags=50%, list=10%, signal=45%","67141/219114/66442/56150/68014/229841/69716/14841/11799/22137/70385/107995/67052/18817/268697/12236/208628/76464/52276/67629/66977/12235/20877/66468/434175"
"GO:1905819","negative regulation of chromosome separation",50,-0.785132745018748,-2.40310702159701,0.00134952766531714,0.0331533834502167,0.0283069220957744,1509,"tags=50%, list=10%, signal=45%","67141/219114/66442/56150/68014/229841/69716/14841/11799/22137/70385/107995/67052/18817/268697/12236/208628/76464/52276/67629/66977/12235/20877/66468/434175"
"GO:0051985","negative regulation of chromosome segregation",52,-0.779607961809323,-2.39040327012901,0.00136612021857923,0.0331533834502167,0.0283069220957744,1509,"tags=50%, list=10%, signal=45%","67141/219114/66442/56150/68014/229841/69716/14841/11799/22137/70385/107995/214901/67052/18817/268697/12236/208628/76464/52276/67629/66977/12235/20877/66468/434175"
"GO:0008608","attachment of spindle microtubules to kinetochore",49,-0.783898527508661,-2.39033226574194,0.00134952766531714,0.0331533834502167,0.0283069220957744,1400,"tags=55%, list=9%, signal=50%","219114/100041286/101994/66442/67037/66934/67177/229841/381318/51944/73804/11799/72415/13605/18005/67052/54141/268697/12534/76464/52276/67629/26934/66977/20877/66468/434175"
"GO:0031577","spindle checkpoint signaling",53,-0.775557384995385,-2.38784099375494,0.0013531799729364,0.0331533834502167,0.0283069220957744,1825,"tags=53%, list=12%, signal=47%","16319/20878/219114/66442/56150/68014/229841/69716/14841/11799/22137/70385/107995/67052/20460/18817/268697/12236/208628/56419/76464/52276/67629/66977/12235/20877/66468/434175"
"GO:1905818","regulation of chromosome separation",71,-0.737818602744038,-2.37020890749063,0.00130208333333333,0.0331533834502167,0.0283069220957744,2017,"tags=45%, list=13%, signal=39%","22038/68298/16319/14211/67141/219114/66442/76044/56150/68014/229841/69716/14841/11799/22137/70385/107995/215387/67052/18817/68612/268697/12236/208628/76464/52276/67629/66977/12235/20877/66468/434175"
"GO:0033047","regulation of mitotic sister chromatid segregation",56,-0.756418343905204,-2.36304780771724,0.00133333333333333,0.0331533834502167,0.0283069220957744,1509,"tags=46%, list=10%, signal=42%","67141/219114/66442/56150/68014/229841/69716/14841/11799/22137/70385/107995/67052/18817/268697/12534/12236/208628/76464/52276/67629/66977/12235/20877/66468/434175"
"GO:0045839","negative regulation of mitotic nuclear division",59,-0.751740180257811,-2.35848043750036,0.00131578947368421,0.0331533834502167,0.0283069220957744,1866,"tags=47%, list=12%, signal=42%","12162/16319/67141/219114/66442/56150/68014/229841/69716/12649/14841/11799/22137/70385/107995/67052/18817/268697/12236/208628/76464/52276/67629/66977/12235/20877/66468/434175"
"GO:0051304","chromosome separation",81,-0.716731298024879,-2.34941102154624,0.00126742712294043,0.0331533834502167,0.0283069220957744,2017,"tags=43%, list=13%, signal=38%","22038/68298/16319/14211/67141/219114/66442/76044/56150/68014/110958/229841/69716/21973/14841/11799/22137/70385/107995/215387/105988/67052/18817/68612/268697/12236/208628/76464/52276/67629/66977/12235/20877/66468/434175"
"GO:0051784","negative regulation of nuclear division",63,-0.74053753603873,-2.34901567838937,0.00129533678756477,0.0331533834502167,0.0283069220957744,1866,"tags=46%, list=12%, signal=41%","12162/16319/67141/219114/66442/56150/68014/229841/69716/12649/14841/11799/22137/70385/107995/67052/18817/268697/12236/208628/76464/52276/67629/66977/12235/20877/66468/434175/16878"
"GO:0051310","metaphase chromosome alignment",97,-0.699273139759479,-2.34176527377249,0.00124843945068664,0.0331533834502167,0.0283069220957744,1400,"tags=37%, list=9%, signal=34%","219114/100041286/101994/66442/67037/66934/67177/59014/56742/229841/381318/51944/73804/11799/381293/72415/22137/70385/13605/18005/67052/54141/67849/268697/12534/76464/108000/110033/52276/67629/100502766/26934/66977/20877/66468/434175"
"GO:0000070","mitotic sister chromatid segregation",182,-0.640371006337587,-2.30408443629696,0.00112866817155756,0.0331533834502167,0.0283069220957744,1715,"tags=34%, list=11%, signal=31%","19384/14211/16580/67141/73420/219114/100041286/101994/66442/76044/56150/67177/59014/68014/56742/229841/381318/69716/51944/14841/233406/73804/11799/381293/22137/18140/70385/107995/60411/16571/215387/18005/105988/67052/54141/102920/108907/18817/67849/68612/16551/268697/12534/12236/208628/76464/70218/72119/110033/52276/67629/100502766/26934/12704/209737/66977/54392/71819/12235/20877/66468/434175"
"GO:0051303","establishment of chromosome localization",107,-0.669153415211533,-2.28146191516215,0.00121951219512195,0.0331533834502167,0.0283069220957744,1400,"tags=34%, list=9%, signal=31%","219114/100041286/101994/66442/67037/66934/67177/59014/56742/229841/381318/51944/73804/11799/381293/72415/22137/70385/13605/18005/67052/54141/67849/268697/12534/76464/108000/110033/52276/67629/100502766/26934/66977/20877/66468/434175"
